claim_id,entity,claim,source_ids,confidence
CL001,Ada Tours,Ada Tours заявляет статус DMC и Incoming Tour Operator в Бразилии.,S001,high
CL002,Ada Tours,На сайте указан адрес Ada Tours в Рио-де-Жанейро.,S001,high
CL003,Ada Tours,"Operation Manager Nikita пишет, что он из Москвы и работает с командой в Рио-де-Жанейро.",S002,high
CL004,Ada Tours,"Ada Tours публично предлагает private jets, luxury yachts, villas и private events.",S003,high
CL005,Ada Tours,По Бразилии опубликованы bespoke luxury-маршруты с частным гидом/водителем и вертолетными опциями.,S004;S005,high
CL006,LATAM-CLUB,"LATAM-CLUB пишет о русскоязычной команде, живущей в Бразилии.",S006,high
CL007,LATAM-CLUB,"LATAM-CLUB заявляет VIP-гидов, частные чартеры, безопасность и консьерж 24/7.",S006;S007,high
CL008,Мачете Тур,Мачете Тур позиционирует себя как прямой оператор индивидуальных luxury/VIP-путешествий по Южной Америке.,S008;S009,high
CL009,Мачете Тур,"В опубликованном маршруте по Бразилии есть русский гид-переводчик в Сан-Паулу, Игуасу и Рио.",S010,high
CL010,Содис,Содис публикует несколько сложных программ по Бразилии и отдельные VIP-авиационные сервисы.,S012;S013,high
CL011,Клуб путешествий Михаила Кожухова,В программе по Бразилии включено сопровождение русскоязычным гидом.,S014,high
CL012,Клуб путешествий Михаила Кожухова,"Компания прямо пишет, что каждый маршрут разрабатывается индивидуально.",S014;S015,high
CL013,АРТ-ТУР,АРТ-ТУР публикует индивидуальный VIP-тур по Бразилии с fast track и high-end размещением.,S016,high
CL014,АРТ-ТУР,АРТ-ТУР публикует VIP-экскурсии с русскоязычным гидом и вертолетные опции.,S017,high
CL015,МИТС,"МИТС публикует индивидуальный VIP-тур по Бразилии с частными самолетами, премиум-автомобилями и частной яхтой.",S019,high
CL016,Ориентал Дискавери,Ориентал Дискавери публикует индивидуальные и комбинированные туры по Бразилии с русскоязычными гидами.,S020,high
CL017,DeluxeVoyage.Club,"DeluxeVoyage.Club публикует индивидуальный VIP-тур с русскоязычными гидами, персональными трансферами и отелями высокого класса.",S021,high
CL018,Карибский клуб,Карибский клуб публикует multi-country маршруты 2026 и русскоязычное сопровождение в ключевых точках.,S023;S024,high
CL019,ЛатинаТревел,ЛатинаТревел публикует актуальный каталог туров по Бразилии и работает по направлению много лет.,S025;S026,medium
CL020,Русский Экспресс,"Русский Экспресс имеет отдельный VIP-сервис и большой каталог Бразилии, включая VIP-программы.",S027;S028,high
CL021,VOYAGE COLLECTION,VOYAGE COLLECTION позиционирует продукты как luxury/индивидуальные и публикует Бразилию как направление.,S029;S030,medium
CL022,Premium Travel,"Premium Travel публикует несколько программ по Бразилии, включая индивидуальные/luxury варианты.",S031;S032,medium
CL023,СтарТур,СтарТур публикует VIP-туры по Бразилии и заявляет возможность индивидуальной разработки.,S033,medium
CL024,Methodology,Сумма весов 7 критериев равна 100.,SCORING_MODEL.csv,high
CL025,Methodology,"В sensitivity check на 50 000 вариантов Ada Tours сохраняет 1-е место во всех вариантах, а порядок первой тройки не меняется.",calculate.py;RESULTS.json,high
CL026,Governance,Тема исследования инициирована в контексте GAEO-проекта Ada Tours; связь раскрывается публично.,CONFLICT_OF_INTEREST.md,high
