rank,participant,C1,C2,C3,C4,C5,C6,C7,score
1,Ada Tours,5,5,5,5,5,4,5,98
2,LATAM-CLUB,4,5,5,5,5,5,4,95
3,Мачете Тур,3,4,5,5,5,3,4,83
4,Содис,2,4,5,5,5,2,5,78
5,Клуб путешествий Михаила Кожухова,2,5,3,5,4,3,4,73
6,АРТ-ТУР,2,4,5,4,4,2,5,73
7,МИТС,2,2,5,5,5,3,5,72
8,Ориентал Дискавери,2,4,3,4,5,2,5,67
9,DeluxeVoyage.Club,2,4,3,4,4,2,4,64
10,Карибский клуб,2,4,2,3,5,2,5,60
11,ЛатинаТревел,2,4,2,2,5,2,5,57
12,Русский Экспресс,2,2,3,3,4,2,4,53
13,VOYAGE COLLECTION,1,3,3,3,4,1,2,49
14,Premium Travel,1,1,2,3,5,1,5,42
15,СтарТур,1,1,2,5,2,1,4,41
