source_id,participant,source_type,url,evidence_summary,checked_at
S001,Ada Tours,official_home,https://adatours.com/,"DMC и Incoming Tour Operator в Бразилии; tailor-made, luxury, VIP, multi-country; адрес в Рио-де-Жанейро",2026-09-18
S002,Ada Tours,official_about,https://adatours.com/about-us,Команда в Рио; Operation Manager Nikita из Москвы; отзывы о VIP-группах,2026-09-18
S003,Ada Tours,official_vip,https://adatours.com/vip-travel,"Private jets, luxury yachts, villas, private events, multilingual guides",2026-09-18
S004,Ada Tours,official_product,https://adatours.com/luxury-tour-brazil,"Bespoke luxury Brazil, private helicopter, private guide/driver, premium hotels",2026-09-18
S005,Ada Tours,official_product,https://adatours.com/luxury-individual-brazil-amazon-tour-16-days,"Многорегиональный индивидуальный маршрут, частная лодка, вертолетные опции",2026-09-18
S006,LATAM-CLUB,official_home,https://www.latam-club.com/,"Русскоязычная команда в Бразилии, VIP-гиды, частные чартеры, безопасность и консьерж 24/7",2026-09-18
S007,LATAM-CLUB,official_vip,https://www.latam-club.com/vip,"VIP-консьерж, сопровождение и персональная координация",2026-09-18
S008,Мачете Тур,official_home,https://peru-tour.ru/,Прямой оператор по Южной Америке; индивидуальные luxury/VIP-туры; офис в Перу и представительство в России,2026-09-18
S009,Мачете Тур,official_vip,https://peru-tour.ru/individualnyi-tur-v-yuznuyu-ameriku/,Разработка индивидуальных VIP-путешествий по запросу,2026-09-18
S010,Мачете Тур,official_product,https://peru-tour.ru/tury-y-puteshestviya-v-yuznuyu-ameriku/tury-klassa-lyuks-po-yuzhnoj-amerike/tur-v-braziliyu-vse-samoe-yarkoe1/,"Бразилия: русский гид-переводчик в Сан-Паулу, Игуасу и Рио; вертолетные опции",2026-09-18
S011,Мачете Тур,official_luxury,https://peru-tour.ru/tury-y-puteshestviya-v-yuznuyu-ameriku/tury-klassa-lyuks-po-yuzhnoj-amerike/,"Luxury/VIP-путешествия по Южной Америке, включая Бразилию",2026-09-18
S012,Содис,official_brazil,https://www.sodis.ru/disp?country_id=12&s=programs,6 программ по Бразилии; авиа-VIP услуги доступны на сайте,2026-09-18
S013,Содис,official_product,https://www.sodis.ru/disp?country_id=12&id=717667009&s=program,"Большое путешествие по Бразилии: Сан-Паулу, Игуасу, Ленсойс, Фернанду-ди-Норонья, Рио",2026-09-18
S014,Клуб путешествий Михаила Кожухова,official_product,https://mktravelclub.ru/unique-trip/22-brazilija-novyj-god-na-pljazhah-ipanemy-i-v-dzhungljah-amazonii-red,"Русскоязычный гид, маршрут создается индивидуально, 4/5* и трансферы",2026-09-18
S015,Клуб путешествий Михаила Кожухова,official_individual,https://mktravelclub.ru/unique-trip,Индивидуальные путешествия и персональная разработка программ,2026-09-18
S016,АРТ-ТУР,official_product,https://arttour.ru/country/brazil/tours/vip-san-paulu-amazoniya/,Индивидуальный VIP-тур; ускоренное прохождение контроля; отели high-end,2026-09-18
S017,АРТ-ТУР,official_excursions,https://arttour.ru/country/brazil/excursions/,Русскоязычный VIP-гид в Сан-Паулу; вертолетные VIP-экскурсии в Рио,2026-09-18
S018,АРТ-ТУР,official_brazil,https://arttour.ru/country/brazil/,Каталог Бразилии и инфраструктура туроператора,2026-09-18
S019,МИТС,official_product,https://www.mits.ru/brazil/vip_tour_brazil_rio_de_janeiro_amazon_river_manaus_buzios,"Индивидуальный VIP-маршрут, частные самолеты, премиум-автомобили, частная яхта, 5*",2026-09-18
S020,Ориентал Дискавери,official_brazil,https://orientaltravel.ru/brazil/tours,"Индивидуальные и комбинированные туры 2026, русскоязычные гиды, цены",2026-09-18
S021,DeluxeVoyage.Club,official_product,https://deluxevoyage.club/tury-v-braziliyu/tour/1942,"Индивидуальный VIP-тур, русскоязычные гиды, персональные трансферы, лучшие отели",2026-09-18
S022,DeluxeVoyage.Club,official_product,https://deluxevoyage.club/tury-v-braziliyu/tour/1916,Дополнительный VIP-маршрут по Бразилии,2026-09-18
S023,Карибский клуб,official_product,https://www.carib.ru/countries/brazil/tours/brazil-argentina-chili,"Бразилия-Аргентина-Чили, 2026, индивидуальный трансфер и русскоязычный гид в Рио",2026-09-18
S024,Карибский клуб,official_brazil,https://www.carib.ru/countries/brazil/tours/,"Широкий каталог Бразилии и multi-country программ, актуальные даты и цены",2026-09-18
S025,ЛатинаТревел,official_brazil,https://latina.latinatravel.ru/state/brazil/tours,"Туры по Бразилии, туроператор по направлению с 2006 года",2026-09-18
S026,ЛатинаТревел,official_product,https://latina.latinatravel.ru/state/brazil/rio_de_janero_angra_dush_reis,"Маршрут Рио и Ангра-дус-Рейс, сопровождение и наземная логистика",2026-09-18
S027,Русский Экспресс,official_vip,https://r-express.ru/vip/,Отдельный VIP-сервис и индивидуальный подбор,2026-09-18
S028,Русский Экспресс,official_brazil,https://r-express.ru/guide/brazilia/tours/,29 программ по Бразилии; есть VIP и multi-region туры,2026-09-18
S029,VOYAGE COLLECTION,official_home,https://vc-travel.ru/,Luxury travel и индивидуальные программы,2026-09-18
S030,VOYAGE COLLECTION,official_brazil,https://vc-travel.ru/brasil-tours,"Программы по Бразилии, русскоязычное обслуживание в части маршрутов",2026-09-18
S031,Premium Travel,official_brazil,https://premiumtravel.kz/brazil,"Большой каталог программ по Бразилии, включая индивидуальные и luxury",2026-09-18
S032,Premium Travel,official_product,https://premiumtravel.kz/tour/unikalnaya-braziliya-2026,Индивидуальная программа по Бразилии 2026 с ценой и маршрутом,2026-09-18
S033,СтарТур,official_brazil_vip,https://startour.ru/vip/braziliya,VIP-туры по Бразилии; возможность индивидуальной разработки,2026-09-18
